PVMonth,PVDay,PVHour,TotalkWh,AvgkWh,MaxkWh,MinkWh,ProdkWh62032213_2019,ProdkWh62032213_2020,ProdkWh62032213_2021,ProdkWh62032213_2022,ProdkWh84071567_2019,ProdkWh84071567_2020,ProdkWh84071567_2021,ProdkWh84071567_2022,ProdkWh84071569_2019,ProdkWh84071569_2020,ProdkWh84071569_2021,ProdkWh84071569_2022,ProdkWh84071570_2019,ProdkWh84071570_2020,ProdkWh84071570_2021,ProdkWh84071570_2022
6,20,8,14.1,0.88,1.65,0.0,0.4,0.6,0.6,1.0,0.98,0.98,0.59,0.59,1.1,0.0,1.38,1.38,0.9,1.5,0.45,1.65
6,20,9,38.9,2.43,4.8,0.0,1.8,3.79,0.6,2.6,1.76,1.86,2.25,1.86,2.76,0.0,3.03,4.14,1.95,4.8,1.65,4.05
6,20,10,79.55,4.97,8.85,0.0,1.8,7.79,1.8,6.19,3.23,5.09,3.42,4.11,6.89,0.0,5.24,7.44,3.15,8.25,8.85,6.3
6,20,11,106.87,6.68,10.75,0.0,2.8,10.58,5.19,7.99,2.25,8.8,9.59,5.09,6.34,0.0,6.89,10.75,3.0,10.05,9.75,7.8
6,20,12,139.2,8.7,12.58,0.0,6.79,12.38,12.58,8.98,4.89,11.35,11.45,9.49,9.93,0.0,3.03,11.58,3.9,12.45,10.95,9.45
6,20,13,148.07,9.25,14.17,0.0,4.19,14.17,7.19,8.19,7.24,13.21,12.72,11.54,14.06,0.0,2.48,12.13,7.05,13.05,10.05,10.8
6,20,14,172.1,10.76,14.89,0.0,7.19,14.57,8.58,7.19,11.54,13.89,14.77,11.25,14.89,0.0,6.07,12.96,9.0,13.35,14.4,12.45
6,20,15,162.72,10.17,14.18,0.0,4.39,13.98,7.59,8.39,12.42,14.18,12.91,12.23,12.41,0.0,6.34,12.13,9.15,12.75,12.9,10.95
6,20,16,135.43,8.46,13.7,0.0,4.99,11.98,8.98,4.79,10.17,13.7,9.68,8.02,12.41,0.0,2.76,10.75,6.9,11.4,11.1,7.8
6,20,17,122.25,7.64,12.03,0.0,7.59,10.18,7.99,2.4,9.2,12.03,6.65,7.04,10.75,0.0,6.07,9.65,6.75,9.15,6.9,9.9
6,20,18,89.84,5.62,9.78,0.0,4.39,8.19,3.59,3.99,4.89,9.78,5.58,7.43,8.27,0.0,3.86,6.62,6.45,5.85,5.55,5.4
6,20,19,50.57,3.16,6.07,0.0,1.4,4.39,2.6,2.2,1.96,6.07,3.42,5.58,4.96,0.0,3.31,3.58,3.0,2.55,3.0,2.55
6,20,20,19.79,1.24,1.93,0.0,0.4,1.0,0.8,1.6,1.66,1.86,1.57,1.76,1.93,0.0,1.93,1.38,0.75,0.75,1.65,0.75
6,20,21,2.83,0.18,0.45,0.0,0.0,0.2,0.0,0.2,0.29,0.2,0.39,0.2,0.0,0.0,0.0,0.0,0.3,0.3,0.45,0.3
6,21,7,2.09,0.13,0.28,0.0,0.0,0.2,0.0,0.0,0.1,0.2,0.2,0.1,0.28,0.0,0.28,0.28,0.15,0.15,0.0,0.15
6,21,8,15.3,0.96,1.8,0.0,0.6,0.8,0.8,1.4,1.17,0.68,0.78,0.49,0.83,0.0,1.1,1.1,1.8,1.35,1.05,1.35
6,21,9,44.92,2.81,4.8,0.0,2.0,3.79,0.8,3.99,1.86,1.96,2.54,2.15,3.86,0.0,2.21,3.86,4.5,3.75,2.85,4.8
